call_type,request_count,total_input_tokens,total_output_tokens,total_tokens,latency_min_ms,latency_max_ms,latency_avg_ms,latency_p95_ms,providers,models
ps1_extraction,18,57002,32585,89587,3282.0000000065193,8546.999999991385,5345.611111112197,7750.550000011571,groq,openai/gpt-oss-120b
ps2_conflict,194,465973,33808,499781,5547.000000020489,21650953.000000007,244541.47938144367,39200.50000000046,ollama,hf.co/bartowski/Meta-Llama-3.1-8B-Instruct-GGUF:Q4_K_M
retrieval,100,24212,12655,36867,7516.00000000326,21644187.000000004,234069.73000000027,29510.550000003415,ollama,hf.co/bartowski/Meta-Llama-3.1-8B-Instruct-GGUF:Q4_K_M
core_memory,18,44196,9913,54109,1156.0000000172295,3858.9999999967404,2098.888888890441,3433.9999999967395,groq,openai/gpt-oss-120b
summary,18,32908,17800,50708,983.9999999967404,16280.999999988126,5621.44444444372,13558.449999980798,groq,openai/gpt-oss-120b
conversation,100,161771,12263,174034,2766.0000000032596,75889.99999998487,18009.920000000275,34053.999999992084,ollama,hf.co/bartowski/Meta-Llama-3.1-8B-Instruct-GGUF:Q4_K_M
